accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1.1308935,-2.7104728,8.989771,0.97076416,0.15625,1.183609
1.6917658,-0.6495242,10.21699,0.99420166,0.49394226,0.8006439
-1.030748,-4.2382894,11.261592,0.36834717,0.24093628,0.8933258
1.3048508,-0.3232536,12.086026,0.11482239,0.33041382,0.25576782
0.8447683,-3.0797977,13.216479,-0.4060974,0.25637817,-0.2321167
0.5164508,-3.1595697,10.195042,-2.552597,0.11576843,-1.3192291
-1.3047624,-5.536841,10.969535,-2.9121246,0.36984253,-2.0223083
-3.3441653,-10.712759,13.633994,-1.5059814,1.4841003,-2.032425
1.1189735,-0.997945,12.663924,-0.625,0.91204834,-2.149063
0.23047012,-1.3614286,10.470103,-0.5957031,-0.81900024,-2.1437378
-2.073857,-2.4769201,3.9162614,-0.7863922,-2.9889374,-1.2941895
-2.9555597,-3.113536,0.12252788,-0.028457642,-2.1489868,-0.59591675
-1.9981527,-3.9795234,-0.11629179,0.9680939,-0.5324402,0.13911438
3.717376,-4.7718787,7.136156,1.8485413,0.3719635,1.3908081
13.576261,4.2352304,28.77255,-0.28678894,-2.1782837,-0.16181946
3.6415079,-2.6481361,3.929614,-0.27825928,1.7046051,-0.2635498
1.3433719,-5.841899,14.25339,-0.2058258,0.21803284,0.83314514
1.7591412,-2.963046,3.4402714,0.5984497,0.042800903,-0.07978821
-5.0738497,-3.0925446,8.410133,2.0919495,0.6622467,1.6320953
-0.7360108,-2.0938463,9.8148775,0.7832794,-0.5276489,0.9199524
-2.3869245,-5.783863,6.165457,0.5803375,-0.03869629,1.213974
-1.5317221,-2.6091177,9.08291,1.0943298,0.84973145,0.8091736
0.05204612,-1.5374355,8.964687,1.0208282,1.4201813,0.8880005
0.12478107,-0.90285164,8.238517,0.99632263,0.4454651,0.9689636
0.52678645,-2.587271,9.138658,0.9782257,-0.18197632,1.164444
-0.027813137,-2.2608707,11.344598,0.6746216,0.37675476,0.86083984
-0.24162793,-0.38620985,12.576338,0.09352112,-0.16119385,0.68933105
-0.048029423,-1.9569871,13.219228,-0.27719116,0.49980164,0.065078735
2.4874783,-4.634091,11.079052,-1.6684265,0.36930847,-0.7114868
-1.7626991,-4.2866464,10.254505,-3.0154572,0.36610413,-1.7618408
-3.350645,-10.556237,14.098892,-1.7675018,0.84228516,-2.4052582
0.18940496,-4.558951,13.464008,-0.76242065,2.1712036,-1.460907
-0.29398334,-1.3439684,10.500484,-0.6361847,-0.1340332,-2.0867462
-1.8379533,-3.5187087,5.3065686,-1.0963898,-2.4099731,-1.7709045
-2.562603,-1.8742926,1.3768744,-0.6329956,-2.7173004,-1.0582428
-2.936632,-4.3313365,-0.18185325,0.5196228,-0.84243774,-0.0712738
1.9020224,-4.440544,3.4660802,1.6221771,0.12962341,1.2224884
14.883419,-1.2212772,23.567556,-0.44709778,-2.2778778,1.084549
8.729344,-0.92736745,6.9690847,-0.35601807,0.7970123,-1.3586426
-0.36314428,-6.7575154,12.61478,-0.48599243,0.55944824,1.0232849
-0.79302,-5.3760796,7.741674,0.52601624,0.2350769,-0.6300049
-6.3344927,-2.3152945,5.4146404,2.2773132,0.8833008,1.3817444
-1.1466899,-3.2568474,14.063985,1.0032501,-0.09301758,1.134613
-2.1752114,-4.3771505,5.319412,0.75398254,-0.23416138,1.296524
-0.45714012,-2.5899098,9.965189,1.1843414,0.13388062,1.0493927
-0.57708293,-1.5628718,8.007391,1.1412048,0.86091614,0.87628174
1.3692605,-3.8973866,6.834315,1.2610474,-0.46107483,1.2027893
-0.9492652,-1.2260841,10.069568,1.0107117,-0.30181885,1.3018494
-0.29291475,-4.3115506,10.46212,0.7683563,0.80233765,0.8128967
-1.4826058,-0.8287543,12.818393,0.1505127,0.37249756,0.9615021
0.4069144,-2.1521206,12.475532,0.025878906,0.5045929,0.10876465
2.3484702,-5.147114,11.750771,-0.68466187,0.35598755,-0.39138794
-1.1335106,-4.4429183,10.318257,-2.808792,0.3176422,-1.4699554
-2.4316297,-9.177357,13.743174,-2.1723022,0.70007324,-2.4127197
-1.508249,-8.879257,13.256944,-1.1384583,2.499298,-2.195938
0.15933812,-1.0302913,12.249978,-0.26441956,0.48861694,-2.3647766
-1.6844919,-2.8516593,7.8031816,-0.83380127,-2.0168915,-1.9503937
-3.1447508,-2.5517364,2.2438378,-0.96694946,-3.4400787,-1.3495941
-3.1854608,-4.1345353,-1.0957239,0.03492737,-2.266693,-0.6449127
-1.8826374,-3.730433,-0.1966166,1.3904724,0.2228241,0.5561676
7.5022836,-4.8193674,10.463776,1.9817047,-0.5377655,1.5596466
10.947416,0.7992296,22.653767,-0.4992981,0.39646912,-2.307785
-0.2633316,-1.1849029,1.9820025,-0.5131531,1.3296356,-0.17619324
1.213522,-3.0510519,15.695,0.3262787,1.0452118,1.6240997
-0.22136319,-6.6486626,2.222211,-0.013549805,-0.31565857,-0.47447205
-3.150888,-6.3137436,9.47943,2.3982086,1.5789185,1.5505981
-0.2064715,-1.9267246,10.783909,0.73054504,-0.3662567,1.0355377
-2.0693347,-3.6834726,6.7625165,0.80618286,0.20631409,1.2896118
-0.60674036,-1.8854575,9.162177,1.2109833,0.8140564,0.7899933
-0.643049,-1.2337747,8.38581,0.9233551,0.5860901,0.93434143
1.8374497,-3.6002939,6.824199,1.1705017,-0.024307251,1.1058502
