accelX,accelY,accelZ,gyroX,gyroY,gyroZ
7.3681555,-7.060373,13.679777,-3.5183716,1.599411,-0.27842712
1.7758447,1.2933669,9.924702,-2.1968994,-2.6307526,-0.16497803
-2.274701,-0.9161713,6.132421,-1.9966431,-0.020309448,-1.1226501
-1.414386,-1.7711307,1.2163128,-1.454422,-0.9934387,-0.44247437
-0.45310473,-2.7841032,-0.36140278,-1.02565,-1.1676025,0.60627747
1.1890879,-1.503225,-0.56135887,1.9501648,-1.6288605,0.72558594
19.338238,12.8193035,29.8913,2.5547028,-1.0914459,-1.1583252
7.0431714,-0.5091281,21.138714,-1.0437622,-0.60461426,0.07524109
6.9572983,-8.854508,3.6017797,-0.55374146,1.3203125,1.2725983
-6.609223,-4.514292,7.812484,2.3544312,-0.24508667,0.37298584
-5.9618397,-2.0549808,13.325644,2.589325,2.076126,-1.2382202
-0.7161747,-0.28091928,10.291813,1.1272583,1.2627869,0.6904297
0.44776338,0.7606488,9.604989,0.34161377,-1.7343292,0.115722656
1.3601531,-1.6420468,4.907389,2.590393,-0.90182495,-0.5388794
1.3191519,-3.6636398,6.745475,1.5331116,2.5746613,-0.12928772
0.21205059,-1.0658201,9.472474,1.6918488,-0.54229736,0.4672699
4.54669,1.5540048,11.569655,1.2827759,0.7131195,0.5088043
-1.2958748,1.1678095,13.640033,0.29580688,0.9991455,0.11465454
0.45216346,3.5003536,14.332567,-0.3918152,-0.17744446,-0.70080566
-0.4858204,-0.36426234,13.36692,-2.1532288,-0.96147156,-0.8169098
-3.9317358,-4.658107,14.148682,-2.6911926,-1.3124847,-0.78656006
5.3921885,-4.9772744,14.986075,-2.4472504,1.4034119,0.66433716
-0.62937975,-5.291019,8.150765,-2.6219482,-0.06239319,-0.093063354
-1.6845908,1.1872236,8.23227,-1.660553,-0.62272644,-1.3862915
-2.274953,-1.9922867,4.0417366,-0.9553375,-1.5489655,-1.2685852
-1.8809783,-3.3509827,1.6682607,-0.9984894,-1.2496338,-0.04246521
0.23936135,-2.654315,0.1975427,-0.1026001,-1.2064819,1.0393066
10.372314,4.2699413,5.894893,2.460968,-3.5889587,0.035827637
8.659182,0.9960284,30.013031,-0.9958191,0.6071167,-0.27415466
7.6349154,-7.430031,5.06413,0.97384644,0.21617126,0.034240723
-4.8776803,-5.839596,11.224019,0.26171875,0.21670532,0.4123993
3.896937,-0.60168326,4.37702,1.8771973,0.58262634,-0.21183777
-4.815217,-2.4963624,9.251218,1.7190094,2.0974274,0.6094818
1.6123004,2.4357195,13.671052,0.19781494,1.4327087,0.7048187
-2.9596934,-1.6445699,6.759858,1.5618744,-1.2421722,-0.24220276
2.6591382,-1.6315917,6.9488735,2.4369965,0.94747925,-0.27043152
-1.0084937,-2.1360204,7.8695893,1.3642731,1.0769043,0.22917175
3.5592308,-0.72418654,10.377028,1.4718628,-0.22964478,0.60520935
0.5591614,0.6058332,12.00376,0.84069824,1.2585297,0.22544861
-1.7181957,1.1541777,12.429023,0.07637024,0.6864929,-0.1394043
-0.3002419,0.844879,14.628118,-1.4006195,-0.3026123,-0.8291626
-1.8603128,-3.2432647,14.774048,-3.3170319,-1.03125,-1.058197
0.99489665,-8.453892,14.548635,-2.364685,0.46331787,0.21479797
0.087163925,-6.339361,10.312552,-3.1236877,0.87983704,-0.6629791
-0.9932461,1.5156282,9.12417,-2.2650757,-1.8701477,-1.0033417
-1.9703009,-1.4502184,3.8759043,-1.7723999,-1.795044,-1.1636505
-1.0479102,-2.0513456,1.7484293,-1.677063,-1.3076935,-0.25445557
0.51183265,-3.262966,1.4368056,-0.73376465,-1.0765228,0.98605347
2.806574,-1.0356181,0.9870124,2.2644196,-0.7010193,0.36393738
22.232285,10.405424,23.344507,4.0663147,-1.1026306,-0.83555603
3.069088,-1.0715532,17.032753,-1.1747894,-1.9031677,-0.49414062
3.2693286,-6.520677,5.2580814,0.8833008,3.0875854,0.7841797
-4.9851565,-5.7107058,5.5604277,1.174118,-0.2738495,-0.28961182
-2.1086745,-2.6755729,6.621663,2.2692108,0.52882385,0.15248108
-1.0513406,-1.9754219,15.668463,1.3791809,3.2985077,1.328537
-1.8270369,-0.42278308,8.868261,0.5456238,-2.6078491,-0.13833618
0.3075389,-0.9529784,4.427841,2.5078278,0.6561279,-0.6949463
0.7511763,-2.9142933,8.513352,1.2939606,1.533905,0.12532043
2.1236045,-0.6475029,9.060603,1.4830475,-0.27703857,0.40974426
0.66669697,0.7156411,10.788915,1.1869049,1.3954163,0.55781555
-2.2203188,1.9290781,13.524436,0.051864624,0.37649536,-0.07548523
2.5490093,3.334012,14.576829,-0.24853516,0.17675781,-0.77963257
-1.951272,-0.09329736,13.440556,-2.3764038,-0.9508209,-1.0992126
-2.5087,-6.8583407,15.568086,-2.4664154,-1.5303345,-0.8147888
6.151432,-6.3692546,14.513476,-2.843521,1.121109,0.5077362
-2.4364214,-4.1233974,7.705199,-2.5793304,0.10432434,0.16259766
-0.9930407,0.687853,8.532194,-2.044571,-0.99290466,-1.2861633
-1.2508955,-2.009074,3.913528,-1.5114136,-1.0887756,-0.7492676
-0.5021037,-3.3363242,1.340579,-1.0032806,-1.207016,0.26753235
0.26006198,-2.4591558,0.35976225,0.43696594,-0.9465637,0.65582275
8.644923,5.500008,7.970787,2.9962616,-2.0134277,-0.027557373
6.4271007,-0.41182804,24.231682,-1.9007568,0.16610718,-0.00944519
6.874654,-6.09772,2.2712083,0.31498718,-0.5556183,-0.14207458
-1.9849172,-2.840773,15.8043375,-0.33854675,1.0433502,0.40653992
-2.056729,-2.013578,4.05935,2.5754852,0.010040283,-0.51651
-2.4320474,-3.7087379,7.9063516,2.0609589,1.7831726,0.51893616
0.9611367,0.1391586,14.5966625,0.7464142,1.3469543,0.7628784
-1.2320131,-1.1285632,6.974843,1.3695984,-1.6006317,-0.29493713
1.4924288,-1.7682718,5.2269645,2.4199524,0.9373627,-0.43980408
-0.5152032,-2.5978248,7.9997377,1.2604065,1.2574615,0.2797699
2.7002387,-0.70621073,10.406426,1.6689453,-0.6829071,0.48324585
1.4527831,0.003113568,11.202919,1.3339081,1.500885,0.28936768
-1.6767402,1.0105517,13.681117,0.10192871,0.6326904,0.061935425
1.8226647,1.0493104,14.512033,-1.1678619,-0.4629364,-0.78656006
-1.3247628,-0.83975065,13.40952,-2.8318024,-0.9454956,-0.91970825
-0.09797239,-7.150744,13.739602,-2.4973145,-0.08743286,0.14395142
1.1005836,-8.037418,11.116052,-3.3218231,1.6121979,-0.548996
-0.3009556,1.6713095,9.202219,-2.412094,-0.9859772,-0.67204285
-2.06201,-1.0803173,5.16571,-1.7196655,-1.3242035,-1.442749
-1.8263389,-1.8364599,1.9481535,-1.5455017,-1.0935669,-0.3466034
0.2899083,-4.0094337,0.68355054,-0.48182678,-0.6717224,0.60202026
3.523626,0.96344,1.4873935,2.034851,-1.7710724,0.7016144
25.740189,8.1991,36.87532,1.7733307,2.1480255,-0.4653778
3.1045866,-2.320793,7.6131864,-0.71299744,-1.5942383,-0.76898193
1.8764431,-2.915383,5.257546,0.9131317,2.1751862,0.9690094
-3.5550377,-7.258795,12.768306,1.7919769,0.42549133,-0.2762909
-4.610875,-3.1787596,6.9751883,1.2247162,-0.070388794,0.31866455
0.3400287,-2.3475363,11.995244,2.5909271,1.9690704,0.69895935
-0.14463827,0.25728527,8.837906,-0.25279236,-0.65893555,-0.12449646
0.6006112,-1.6101239,5.7927756,2.8167572,-0.7020874,-0.5804291
-0.0945487,-2.6848042,7.915347,1.4771881,2.650299,-0.08027649
1.6287186,-0.4820664,8.843445,1.6470947,-0.22325134,0.34422302
1.5191498,1.3140576,11.286569,1.171463,0.9895477,0.65634155
-0.47209406,1.9572415,13.149689,0.37623596,0.6087189,-0.026489258
0.97739255,1.6255624,14.195532,-0.31192017,0.22096252,-0.5292969
0.54505974,-0.36961585,13.285526,-2.3572235,-0.56733704,-0.7790985
-4.260399,-4.9193883,12.954839,-2.730072,-1.1702728,-0.8430176
4.6182823,-5.744502,15.031865,-2.363083,0.5852814,0.38630676
-0.7392818,-5.5954714,10.307215,-3.2919922,0.94322205,-0.097854614
-1.9301723,1.1024474,9.156767,-2.0205994,-0.519928,-1.2004089
-1.8757832,-2.131826,4.1638856,-1.3265839,-1.3460388,-0.7987976
-1.4677501,-2.8357272,0.82577676,-1.3723907,-0.9769287,0.16952515
-0.012170196,-2.9198031,-0.85867435,0.022033691,-1.187851,0.89390564
7.608047,5.00273,5.561451,3.849533,-2.6195679,-0.39346313
9.917655,1.1250138,35.62541,-0.61764526,1.5956879,-0.033950806
6.6462345,-4.0534925,4.610334,-0.31245422,-0.030441284,0.040618896
-0.51723313,-6.580255,7.414951,1.3568115,2.026062,-0.118637085
6.88E-04,-2.4833915,9.418212,1.7690735,-0.07997131,0.033706665
-3.0987692,-2.7619448,8.673915,2.3613586,0.802063,0.118392944
2.4529216,3.2732985,12.454412,0.48117065,2.31102,0.9716644
-2.5069304,-2.1685047,7.174782,1.649231,-1.1500244,-0.37376404
0.74013996,-2.134313,6.2999516,1.9075623,0.97250366,-0.27415466
1.2098894,-1.738676,7.9452896,1.4329834,0.37809753,0.24674988
1.780882,-1.1454427,10.576313,1.3712006,0.18580627,0.5913696
1.079139,1.5890439,12.743742,0.6617279,1.038559,0.22544861
-1.3980916,2.8150754,12.569209,-0.05253601,0.5916748,-0.51490784
0.49339724,1.2405887,13.632867,-1.4256592,-0.522583,-0.85899353
-3.7911434,-2.8407695,13.904131,-3.0224915,-1.4621582,-0.9772339
1.1197332,-7.744744,15.2492285,-2.5191498,0.20605469,0.47685242
0.94508624,-7.8810554,9.491015,-3.5615082,0.818573,-0.43980408
-0.06749916,2.2834892,8.722105,-2.1862488,-1.4280701,-0.6826935
-1.9806906,-0.9201744,6.828135,-1.694107,-1.3652191,-1.5929565
-1.6040695,-1.8266578,2.8005009,-1.5252533,-1.510086,-0.50479126
-0.11167526,-3.8039951,0.59379494,-0.3252411,-0.87306213,0.8118744
0.99260664,-2.3780613,-0.29452908,1.4367065,-0.6152649,0.9540863
23.041737,14.134977,22.88022,3.367508,-2.893341,-0.7332916
4.297738,-2.1252184,17.005402,-1.2323151,-1.7204742,-0.46484375
9.320072,-9.121111,4.31629,0.9770508,3.0891876,0.98498535
-7.8970194,-3.0513437,12.564424,-0.44241333,-2.2536469,0.025177002
-2.7332754,0.20384985,7.8415055,3.1326141,0.8899536,-1.2994843
2.0231307,-3.3989446,10.7860775,1.1869049,3.3299408,0.28137207
3.9326675,-5.7807937,9.42302,-1.1407013,-0.4384308,0.5780487
-5.6640983,-3.1967487,8.691467,2.9360657,4.7286377,-0.37269592
-0.9532879,1.0457942,6.572065,2.207428,2.5219421,0.04701233
0.15712604,-0.6037439,11.773655,0.16265869,0.3717041,1.0968323
2.9422765,-2.4494827,7.6812377,1.1203308,2.5810547,0.26060486
-1.6261176,-1.1889158,8.652211,0.41938782,2.0723877,0.3101349
-3.7767153,0.89529145,8.376857,0.4183197,1.1727753,0.1620636
-1.8146034,-1.0873907,12.3327055,0.19567871,0.9895477,-0.029678345
0.37053585,-7.0595016,11.926513,0.41246033,2.4494934,-0.1825409
1.2788072,-8.227136,12.363266,-0.14733887,1.3852997,0.13383484
0.73066163,-6.920409,8.921527,0.009796143,2.5581512,0.16952515
0.50545657,-5.5770297,7.8504634,-0.20646667,2.7477722,0.30641174
-1.0828081,-4.7078943,7.7604313,-0.20326233,2.9576263,0.5285187
-1.0058379,-4.009027,8.810506,-0.0642395,3.1355286,0.53863525
0.34808087,-3.9062424,9.870503,0.031097412,2.793045,0.53970337
0.11668873,-2.472839,8.211295,0.48329163,2.4479065,0.48431396
